source_id,target_id,source_case,target_case,source_country,target_country,weight,relation_reasons,source_longitude,source_latitude,target_longitude,target_latitude
4879,5825,"Sabetta port, Arctic Russia","Novatek's two gas fields in Yamalsky nature reserve, Yamal, Russia",Russia,Russia,6,same_core_group:Russia; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,72.11,71.25,70.78,68.01
7048,5505,"Washington Park and South Providence Residents Oppose Allens Avenue Waste Transfer Station, RI, USA","Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia",United States,Russia,6,same_supply_role:Export / extraction; same_infrastructure:Liquefaction / export facility; shared_impacts:[object Object]; shared_groups:Local residents,-71.400876019,41.800615525,76.2,71.78
7048,6212,"Washington Park and South Providence Residents Oppose Allens Avenue Waste Transfer Station, RI, USA","Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-71.400876019,41.800615525,-71.384557486,41.791048761
7048,3743,"Washington Park and South Providence Residents Oppose Allens Avenue Waste Transfer Station, RI, USA","New Hampshire's Granite Bridge Gas Pipeline, United States",United States,United States,6,same_core_group:US East Coast (provisional); same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-71.400876019,41.800615525,-71.0705,43.037
6284,4968,"Brunsbüttel LNG Terminal, Germany","Protests against floating LNG terminal, Krk island, Croatia",Germany,Croatia,5,same_core_group:Europe; same_eu_link; shared_groups:Local residents,9.188318543,53.894965175,14.605,45.016
6749,1755,"Cove Point LNG export terminal, USA","Hassi R'Mel gas field, Algeria",United States,Algeria,5,same_supply_role:Export / extraction; same_status:Operating; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,3.271093,32.9395
6749,5505,"Cove Point LNG export terminal, USA","Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia",United States,Russia,5,same_supply_role:Export / extraction; shared_impacts:[object Object]; shared_groups:Fishing and coastal communities|Local residents,-76.410427259,38.388170036,76.2,71.78
6749,6686,"Cove Point LNG export terminal, USA","Ruwais LNG Terminal in Al Ruwais Industrial City, Abu Dhabi, United Arab Emirates",United States,United Arab Emirates,5,same_supply_role:Export / extraction; same_infrastructure:LNG terminal; shared_impacts:[object Object],-76.410427259,38.388170036,52.700810329,24.098781602
6749,6463,"Cove Point LNG export terminal, USA","Rügen LNG import terminal, Germany",United States,Germany,5,same_infrastructure:LNG terminal; shared_impacts:[object Object]; shared_groups:Fishing and coastal communities|Local residents,-76.410427259,38.388170036,13.587524,54.483347
6749,4856,"Cove Point LNG export terminal, USA","Yamal Mega natural gas project, Arctic Russia",United States,Russia,5,same_supply_role:Export / extraction; same_status:Operating; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,68.492,70.375
2585,4968,"LNG Shannon terminal, Ireland","Protests against floating LNG terminal, Krk island, Croatia",Ireland,Croatia,5,same_core_group:Europe; same_eu_link; shared_groups:Local residents,-9.44343,52.57947,14.605,45.016
6721,5505,"LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey","Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia",United States,Russia,5,same_supply_role:Export / extraction; same_status:Under construction; shared_impacts:[object Object]; shared_groups:Local residents,-75.292667,39.829111,76.2,71.78
6721,6686,"LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey","Ruwais LNG Terminal in Al Ruwais Industrial City, Abu Dhabi, United Arab Emirates",United States,United Arab Emirates,5,same_supply_role:Export / extraction; same_infrastructure:LNG terminal; shared_impacts:[object Object],-75.292667,39.829111,52.700810329,24.098781602
6721,6463,"LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey","Rügen LNG import terminal, Germany",United States,Germany,5,same_infrastructure:LNG terminal; same_status:Under construction; shared_impacts:[object Object]; shared_groups:Local residents,-75.292667,39.829111,13.587524,54.483347
6465,4968,"Le Havre LNG Floating Storage and Regasification Unit, France","Protests against floating LNG terminal, Krk island, Croatia",France,Croatia,5,same_core_group:Europe; same_eu_link; shared_groups:Local residents,0.188992,49.467955,14.605,45.016
6785,6749,"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain","Cove Point LNG export terminal, USA",Spain,United States,5,same_infrastructure:LNG terminal; same_status:Operating; shared_impacts:[object Object]; shared_groups:Local residents,-0.2152,39.6329,-76.410427259,38.388170036
5505,2678,"Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia","Gas grabs, Algeria",Russia,Algeria,5,same_supply_role:Export / extraction; same_eu_link; shared_groups:Local residents; shared_companies:Total Nature Based Solutions,76.2,71.78,3.06,36.77
5505,1755,"Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia","Hassi R'Mel gas field, Algeria",Russia,Algeria,5,same_supply_role:Export / extraction; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,76.2,71.78,3.271093,32.9395
7023,6212,"No LNG in PVD Opposes National Grid Liquefaction Project, RI, US","Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA",United States,United States,5,same_core_group:US East Coast (provisional); same_eu_link; shared_groups:Local residents,-71.393354675,41.797477536,-71.384557486,41.791048761
7023,4856,"No LNG in PVD Opposes National Grid Liquefaction Project, RI, US","Yamal Mega natural gas project, Arctic Russia",United States,Russia,5,same_supply_role:Export / extraction; same_status:Operating; shared_groups:Indigenous communities|Local residents,-71.393354675,41.797477536,68.492,70.375
6949,6749,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Cove Point LNG export terminal, USA",Belgium,United States,5,same_infrastructure:LNG terminal; same_status:Operating; shared_impacts:[object Object]; shared_groups:Local residents,3.21622,51.352316,-76.410427259,38.388170036
7241,6749,"Protests in Huelva against the use of liquefied gas, Spain","Cove Point LNG export terminal, USA",Spain,United States,5,same_infrastructure:LNG terminal; same_status:Operating; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,-76.410427259,38.388170036
4879,2678,"Sabetta port, Arctic Russia","Gas grabs, Algeria",Russia,Algeria,5,same_infrastructure:Port / logistics hub; same_status:Operating; same_eu_link; shared_groups:Local residents,72.11,71.25,3.06,36.77
4847,4968,"Skulte LNG Terminal and Pipeline, Latvia","Protests against floating LNG terminal, Krk island, Croatia",Latvia,Croatia,5,same_core_group:Europe; same_eu_link; shared_groups:Local residents,24.395828247,57.316325944,14.605,45.016
4856,2678,"Yamal Mega natural gas project, Arctic Russia","Gas grabs, Algeria",Russia,Algeria,5,same_supply_role:Export / extraction; same_status:Operating; same_eu_link; shared_groups:Local residents,68.492,70.375,3.06,36.77
7265,6749,"Bratislava LNG terminal cancellation, Slovakia","Cove Point LNG export terminal, USA",Slovakia,United States,4,same_infrastructure:LNG terminal; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,-76.410427259,38.388170036
7265,6721,"Bratislava LNG terminal cancellation, Slovakia","LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey",Slovakia,United States,4,same_infrastructure:LNG terminal; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,-75.292667,39.829111
6749,6284,"Cove Point LNG export terminal, USA","Brunsbüttel LNG Terminal, Germany",United States,Germany,4,same_infrastructure:LNG terminal; same_status:Operating; shared_groups:Local residents,-76.410427259,38.388170036,9.188318543,53.894965175
6749,2678,"Cove Point LNG export terminal, USA","Gas grabs, Algeria",United States,Algeria,4,same_supply_role:Export / extraction; same_status:Operating; shared_groups:Local residents,-76.410427259,38.388170036,3.06,36.77
6749,6462,"Cove Point LNG export terminal, USA","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",United States,Ireland,4,same_infrastructure:LNG terminal; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,-8.326987603,51.837827994
6749,5825,"Cove Point LNG export terminal, USA","Novatek's two gas fields in Yamalsky nature reserve, Yamal, Russia",United States,Russia,4,same_supply_role:Export / extraction; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,70.78,68.01
7077,6749,"Floating Storage and Regasification Unit in the port of Piombino, Italy","Cove Point LNG export terminal, USA",Italy,United States,4,same_status:Operating; shared_impacts:[object Object]; shared_groups:Fishing and coastal communities|Local residents,10.559038062,42.93942814,-76.410427259,38.388170036
